,Unnamed: 0,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop,Region,Cases,Deaths,Confirmed cases in the last 14 days,Attainment of goals / Health / Level (DALE),Attainment of goals / Health / Distribution,Attainment of goals / Health / Overall goal attainment,Health expenditure per capita in international dollars,Performance / On level of health,Performance / Overall health system performance,date
50,50,Grenada,14,0,0,0,0,14,2,124.0,0.0,92,818,America,14,0,5,49,82,68,67,49,85,04-16-2020
51,51,Guatemala,180,13,5,0,19,156,3,10.0,0.3,1134,63,America,180,5,142,129,106,113,130,99,78,04-16-2020
52,52,Guinea,404,41,1,1,31,372,0,31.0,0.08,0,0,Africa,363,0,347,167,166,172,159,160,161,04-16-2020
53,53,Guyana,48,1,6,0,8,34,5,61.0,8.0,213,271,America,48,6,36,98,126,116,109,104,128,04-16-2020
54,54,Haiti,40,0,3,0,0,37,0,4.0,0.3,365,32,America,40,3,25,153,152,145,155,139,138,04-16-2020
55,55,Honduras,419,12,31,5,9,379,10,42.0,3.0,1600,162,America,419,31,247,92,119,129,100,48,131,04-16-2020
56,56,Hungary,1579,67,134,12,192,1253,58,163.0,14.0,37326,3864,Europe,1579,134,1054,62,40,43,59,105,66,04-16-2020
57,57,Iceland,1727,7,8,0,1077,642,8,5061.0,23.0,37386,109558,Europe,1720,8,585,19,24,16,14,27,15,04-16-2020
58,58,India,11555,68,405,12,1432,9718,0,8.0,0.3,244893,177,Asia,11438,377,10041,19,13,121,133,118,112,04-16-2020
59,59,Indonesia,5136,297,469,10,446,4221,0,19.0,2.0,36000,132,Asia,4839,459,3311,103,156,106,154,90,92,04-16-2020
60,60,Iran,76389,1512,4777,94,49933,21679,3643,909.0,57.0,299204,3562,Asia,74877,4683,30271,96,113,114,94,58,93,04-16-2020
61,61,Iraq,1400,0,78,0,766,556,0,35.0,2.0,45437,1130,Asia,1400,78,706,126,130,124,117,75,103,04-16-2020
62,62,Ireland,11479,0,406,0,77,10996,194,2325.0,82.0,90646,18358,Europe,11479,406,8244,27,13,25,25,32,19,04-16-2020
63,63,Israel,12200,154,126,3,2309,9765,176,1410.0,15.0,117339,13557,Asia,12046,123,7130,23,7,24,19,40,28,04-16-2020
64,64,Italy,162488,0,21067,0,37130,104291,3186,2687.0,348.0,1073689,17758,Europe,162488,21069,56696,6,14,11,11,3,2,04-16-2020
65,65,Jamaica,105,0,5,1,21,79,0,35.0,2.0,1290,436,America,105,5,67,36,87,69,89,8,53,04-16-2020
66,66,Japan,8100,215,146,0,853,7101,152,64.0,1.0,89551,708,Asia,8100,119,6147,1,3,1,13,9,10,04-16-2020
67,67,Jordan,397,0,7,0,235,155,5,39.0,0.7,20500,2009,Asia,397,7,123,101,83,84,98,100,83,04-16-2020
